"Repeat","Fold","Observation","Observed","Dataset","Target"
1,1,52,0.56888,"parkinsons","DFA"
1,1,53,0.53708,"parkinsons","DFA"
1,1,54,0.54898,"parkinsons","DFA"
1,1,55,0.56787,"parkinsons","DFA"
1,1,56,0.5738,"parkinsons","DFA"
1,1,57,0.61594,"parkinsons","DFA"
1,1,58,0.56459,"parkinsons","DFA"
1,1,59,0.55809,"parkinsons","DFA"
1,1,60,0.55703,"parkinsons","DFA"
1,1,61,0.59028,"parkinsons","DFA"
1,1,62,0.59251,"parkinsons","DFA"
1,1,63,0.56765,"parkinsons","DFA"
1,1,64,0.57931,"parkinsons","DFA"
1,1,65,0.59345,"parkinsons","DFA"
1,1,66,0.56051,"parkinsons","DFA"
1,1,67,0.56881,"parkinsons","DFA"
1,1,68,0.59545,"parkinsons","DFA"
1,1,69,0.54572,"parkinsons","DFA"
1,1,70,0.53484,"parkinsons","DFA"
1,1,71,0.54104,"parkinsons","DFA"
1,1,72,0.54968,"parkinsons","DFA"
1,1,73,0.54362,"parkinsons","DFA"
1,1,74,0.54761,"parkinsons","DFA"
1,1,75,0.5844,"parkinsons","DFA"
1,1,76,0.57961,"parkinsons","DFA"
1,1,77,0.56152,"parkinsons","DFA"
1,1,78,0.56186,"parkinsons","DFA"
1,1,79,0.56255,"parkinsons","DFA"
1,1,80,0.58173,"parkinsons","DFA"
1,1,81,0.56862,"parkinsons","DFA"
1,1,82,0.57157,"parkinsons","DFA"
1,1,83,0.57265,"parkinsons","DFA"
1,1,84,0.5939,"parkinsons","DFA"
1,1,85,0.57381,"parkinsons","DFA"
1,1,86,0.5598,"parkinsons","DFA"
1,1,87,0.56794,"parkinsons","DFA"
1,1,88,0.54723,"parkinsons","DFA"
1,1,89,0.57219,"parkinsons","DFA"
1,1,90,0.54986,"parkinsons","DFA"
1,1,91,0.53879,"parkinsons","DFA"
1,1,92,0.53572,"parkinsons","DFA"
1,1,93,0.52132,"parkinsons","DFA"
1,1,94,0.52792,"parkinsons","DFA"
1,1,95,0.5376,"parkinsons","DFA"
1,1,96,0.54587,"parkinsons","DFA"
1,1,97,0.53283,"parkinsons","DFA"
1,1,98,0.53549,"parkinsons","DFA"
1,1,99,0.53117,"parkinsons","DFA"
1,1,100,0.54246,"parkinsons","DFA"
1,1,101,0.53152,"parkinsons","DFA"
1,1,102,0.547,"parkinsons","DFA"
1,1,103,0.53526,"parkinsons","DFA"
1,1,104,0.5574,"parkinsons","DFA"
1,1,105,0.53979,"parkinsons","DFA"
1,1,106,0.54446,"parkinsons","DFA"
1,1,107,0.54236,"parkinsons","DFA"
1,1,108,0.55311,"parkinsons","DFA"
1,1,109,0.52818,"parkinsons","DFA"
1,1,110,0.55273,"parkinsons","DFA"
1,1,111,0.53733,"parkinsons","DFA"
1,1,112,0.5626,"parkinsons","DFA"
1,1,113,0.52472,"parkinsons","DFA"
1,1,114,0.52767,"parkinsons","DFA"
1,1,115,0.52114,"parkinsons","DFA"
1,1,116,0.52334,"parkinsons","DFA"
1,1,117,0.532,"parkinsons","DFA"
1,1,118,0.52532,"parkinsons","DFA"
1,1,119,0.52571,"parkinsons","DFA"
1,1,120,0.52092,"parkinsons","DFA"
1,1,121,0.52678,"parkinsons","DFA"
1,1,122,0.52515,"parkinsons","DFA"
1,1,123,0.53856,"parkinsons","DFA"
1,1,124,0.5235,"parkinsons","DFA"
1,1,125,0.5303,"parkinsons","DFA"
1,1,126,0.54059,"parkinsons","DFA"
1,1,127,0.57274,"parkinsons","DFA"
1,1,128,0.53674,"parkinsons","DFA"
1,1,129,0.5456,"parkinsons","DFA"
1,1,130,0.52915,"parkinsons","DFA"
1,1,131,0.53578,"parkinsons","DFA"
1,1,132,0.55236,"parkinsons","DFA"
1,1,133,0.52772,"parkinsons","DFA"
1,1,134,0.53659,"parkinsons","DFA"
1,1,135,0.52887,"parkinsons","DFA"
1,1,136,0.54068,"parkinsons","DFA"
1,1,137,0.75905,"parkinsons","DFA"
1,1,138,0.76679,"parkinsons","DFA"
1,1,139,0.78209,"parkinsons","DFA"
1,1,140,0.73637,"parkinsons","DFA"
1,1,141,0.73302,"parkinsons","DFA"
1,1,142,0.73373,"parkinsons","DFA"
1,1,143,0.74011,"parkinsons","DFA"
1,1,144,0.70492,"parkinsons","DFA"
1,1,145,0.71757,"parkinsons","DFA"
1,1,146,0.74542,"parkinsons","DFA"
1,1,147,0.74484,"parkinsons","DFA"
1,1,148,0.77285,"parkinsons","DFA"
1,1,149,0.77617,"parkinsons","DFA"
1,1,150,0.76751,"parkinsons","DFA"
1,1,151,0.79736,"parkinsons","DFA"
1,1,152,0.80877,"parkinsons","DFA"
1,1,153,0.7824,"parkinsons","DFA"
1,1,154,0.70195,"parkinsons","DFA"
1,1,155,0.78236,"parkinsons","DFA"
1,1,156,0.76801,"parkinsons","DFA"
1,1,157,0.7205,"parkinsons","DFA"
1,1,158,0.76724,"parkinsons","DFA"
1,1,159,0.74918,"parkinsons","DFA"
1,1,160,0.76217,"parkinsons","DFA"
1,1,161,0.77232,"parkinsons","DFA"
1,1,162,0.77459,"parkinsons","DFA"
1,1,163,0.76017,"parkinsons","DFA"
1,1,164,0.72039,"parkinsons","DFA"
1,1,165,0.75183,"parkinsons","DFA"
1,1,166,0.72572,"parkinsons","DFA"
1,1,167,0.73441,"parkinsons","DFA"
1,1,168,0.72098,"parkinsons","DFA"
1,1,169,0.74866,"parkinsons","DFA"
1,1,170,0.77879,"parkinsons","DFA"
1,1,171,0.78886,"parkinsons","DFA"
1,1,172,0.76213,"parkinsons","DFA"
1,1,173,0.77319,"parkinsons","DFA"
1,1,174,0.77486,"parkinsons","DFA"
1,1,175,0.73628,"parkinsons","DFA"
1,1,176,0.81133,"parkinsons","DFA"
1,1,177,0.80177,"parkinsons","DFA"
1,1,178,0.76518,"parkinsons","DFA"
1,1,179,0.80344,"parkinsons","DFA"
1,1,180,0.73044,"parkinsons","DFA"
1,1,181,0.79112,"parkinsons","DFA"
1,1,182,0.75108,"parkinsons","DFA"
1,1,183,0.75548,"parkinsons","DFA"
1,1,184,0.7586,"parkinsons","DFA"
1,1,185,0.73667,"parkinsons","DFA"
1,1,186,0.71393,"parkinsons","DFA"
1,1,187,0.75357,"parkinsons","DFA"
1,1,188,0.75151,"parkinsons","DFA"
1,1,189,0.72353,"parkinsons","DFA"
1,1,190,0.7032,"parkinsons","DFA"
1,1,191,0.76318,"parkinsons","DFA"
1,1,192,0.76622,"parkinsons","DFA"
1,1,193,0.79953,"parkinsons","DFA"
1,1,194,0.76155,"parkinsons","DFA"
1,1,195,0.77292,"parkinsons","DFA"
1,1,196,0.80333,"parkinsons","DFA"
1,1,197,0.80004,"parkinsons","DFA"
1,1,198,0.80335,"parkinsons","DFA"
1,1,199,0.76604,"parkinsons","DFA"
1,1,200,0.789,"parkinsons","DFA"
1,1,201,0.76965,"parkinsons","DFA"
1,1,202,0.72234,"parkinsons","DFA"
1,1,203,0.77356,"parkinsons","DFA"
1,1,204,0.76236,"parkinsons","DFA"
1,1,205,0.709,"parkinsons","DFA"
1,1,206,0.73798,"parkinsons","DFA"
1,1,207,0.76814,"parkinsons","DFA"
1,1,208,0.72359,"parkinsons","DFA"
1,1,209,0.68678,"parkinsons","DFA"
1,1,210,0.7656,"parkinsons","DFA"
1,1,211,0.75141,"parkinsons","DFA"
1,1,212,0.77786,"parkinsons","DFA"
1,1,213,0.76224,"parkinsons","DFA"
1,1,214,0.78318,"parkinsons","DFA"
1,1,215,0.75157,"parkinsons","DFA"
1,1,216,0.77867,"parkinsons","DFA"
1,1,217,0.74599,"parkinsons","DFA"
1,1,218,0.80352,"parkinsons","DFA"
1,1,219,0.76848,"parkinsons","DFA"
1,1,220,0.78881,"parkinsons","DFA"
1,1,221,0.72952,"parkinsons","DFA"
1,1,222,0.76307,"parkinsons","DFA"
1,1,223,0.74583,"parkinsons","DFA"
1,1,224,0.77157,"parkinsons","DFA"
1,1,225,0.73868,"parkinsons","DFA"
1,1,226,0.76281,"parkinsons","DFA"
1,1,227,0.71099,"parkinsons","DFA"
1,1,228,0.74693,"parkinsons","DFA"
1,1,229,0.77244,"parkinsons","DFA"
1,1,230,0.71527,"parkinsons","DFA"
1,1,231,0.70263,"parkinsons","DFA"
1,1,232,0.7401,"parkinsons","DFA"
1,1,233,0.74028,"parkinsons","DFA"
1,1,234,0.76218,"parkinsons","DFA"
1,1,235,0.78513,"parkinsons","DFA"
1,1,236,0.77927,"parkinsons","DFA"
1,1,237,0.78906,"parkinsons","DFA"
1,1,238,0.75193,"parkinsons","DFA"
1,1,239,0.78127,"parkinsons","DFA"
1,1,240,0.72476,"parkinsons","DFA"
1,1,241,0.79592,"parkinsons","DFA"
1,1,242,0.7951,"parkinsons","DFA"
1,1,243,0.71759,"parkinsons","DFA"
1,1,244,0.77139,"parkinsons","DFA"
1,1,245,0.70698,"parkinsons","DFA"
1,1,246,0.77602,"parkinsons","DFA"
1,1,247,0.74557,"parkinsons","DFA"
1,1,248,0.78217,"parkinsons","DFA"
1,1,249,0.74235,"parkinsons","DFA"
1,1,250,0.68771,"parkinsons","DFA"
1,1,251,0.69527,"parkinsons","DFA"
1,1,252,0.74512,"parkinsons","DFA"
1,1,253,0.78856,"parkinsons","DFA"
1,1,254,0.67828,"parkinsons","DFA"
1,1,255,0.76484,"parkinsons","DFA"
1,1,256,0.76337,"parkinsons","DFA"
1,1,257,0.77705,"parkinsons","DFA"
1,1,258,0.75126,"parkinsons","DFA"
1,1,259,0.79459,"parkinsons","DFA"
1,1,260,0.7921,"parkinsons","DFA"
1,1,261,0.76062,"parkinsons","DFA"
1,1,262,0.79132,"parkinsons","DFA"
1,1,263,0.73697,"parkinsons","DFA"
1,1,264,0.77055,"parkinsons","DFA"
1,1,265,0.76672,"parkinsons","DFA"
1,1,266,0.68099,"parkinsons","DFA"
1,1,267,0.77161,"parkinsons","DFA"
1,1,268,0.74959,"parkinsons","DFA"
1,1,269,0.56409,"parkinsons","DFA"
1,1,270,0.56186,"parkinsons","DFA"
1,1,271,0.57169,"parkinsons","DFA"
1,1,272,0.5737,"parkinsons","DFA"
1,1,273,0.58374,"parkinsons","DFA"
1,1,274,0.55282,"parkinsons","DFA"
1,1,275,0.5455,"parkinsons","DFA"
1,1,276,0.56336,"parkinsons","DFA"
1,1,277,0.5751,"parkinsons","DFA"
1,1,278,0.55329,"parkinsons","DFA"
1,1,279,0.58972,"parkinsons","DFA"
1,1,280,0.57107,"parkinsons","DFA"
1,1,281,0.58972,"parkinsons","DFA"
1,1,282,0.55147,"parkinsons","DFA"
1,1,283,0.58472,"parkinsons","DFA"
1,1,284,0.57545,"parkinsons","DFA"
1,1,285,0.59536,"parkinsons","DFA"
1,1,286,0.56889,"parkinsons","DFA"
1,1,287,0.61335,"parkinsons","DFA"
1,1,288,0.58688,"parkinsons","DFA"
1,1,289,0.56912,"parkinsons","DFA"
1,1,290,0.58372,"parkinsons","DFA"
1,1,291,0.55386,"parkinsons","DFA"
1,1,292,0.56117,"parkinsons","DFA"
1,1,293,0.56502,"parkinsons","DFA"
1,1,294,0.55849,"parkinsons","DFA"
1,1,295,0.56679,"parkinsons","DFA"
1,1,296,0.57742,"parkinsons","DFA"
1,1,297,0.56125,"parkinsons","DFA"
1,1,298,0.56321,"parkinsons","DFA"
1,1,299,0.55266,"parkinsons","DFA"
1,1,300,0.58602,"parkinsons","DFA"
1,1,301,0.57902,"parkinsons","DFA"
1,1,302,0.58266,"parkinsons","DFA"
1,1,303,0.55376,"parkinsons","DFA"
1,1,304,0.57525,"parkinsons","DFA"
1,1,305,0.57505,"parkinsons","DFA"
1,1,306,0.59214,"parkinsons","DFA"
1,1,307,0.60198,"parkinsons","DFA"
1,1,308,0.58354,"parkinsons","DFA"
1,1,309,0.57787,"parkinsons","DFA"
1,1,310,0.57528,"parkinsons","DFA"
1,1,311,0.54316,"parkinsons","DFA"
1,1,312,0.5523,"parkinsons","DFA"
1,1,313,0.56096,"parkinsons","DFA"
1,1,314,0.56018,"parkinsons","DFA"
1,1,315,0.56978,"parkinsons","DFA"
1,1,316,0.55473,"parkinsons","DFA"
1,1,317,0.57241,"parkinsons","DFA"
1,1,318,0.54866,"parkinsons","DFA"
1,1,319,0.55683,"parkinsons","DFA"
1,1,320,0.55511,"parkinsons","DFA"
1,1,321,0.56187,"parkinsons","DFA"
1,1,322,0.54818,"parkinsons","DFA"
1,1,323,0.58419,"parkinsons","DFA"
1,1,324,0.57526,"parkinsons","DFA"
1,1,325,0.58845,"parkinsons","DFA"
1,1,326,0.54811,"parkinsons","DFA"
1,1,327,0.5724,"parkinsons","DFA"
1,1,328,0.57384,"parkinsons","DFA"
1,1,329,0.58957,"parkinsons","DFA"
1,1,330,0.57466,"parkinsons","DFA"
1,1,331,0.59337,"parkinsons","DFA"
1,1,332,0.59284,"parkinsons","DFA"
1,1,333,0.57436,"parkinsons","DFA"
1,1,334,0.57301,"parkinsons","DFA"
1,1,335,0.55319,"parkinsons","DFA"
1,1,336,0.54994,"parkinsons","DFA"
1,1,337,0.56456,"parkinsons","DFA"
1,1,338,0.55612,"parkinsons","DFA"
1,1,339,0.56217,"parkinsons","DFA"
1,1,340,0.56876,"parkinsons","DFA"
1,1,341,0.5431,"parkinsons","DFA"
1,1,342,0.54543,"parkinsons","DFA"
1,1,343,0.5562,"parkinsons","DFA"
1,1,344,0.57218,"parkinsons","DFA"
1,1,345,0.5681,"parkinsons","DFA"
1,1,346,0.59402,"parkinsons","DFA"
1,1,347,0.5537,"parkinsons","DFA"
1,1,348,0.59351,"parkinsons","DFA"
1,1,349,0.5422,"parkinsons","DFA"
1,1,350,0.55197,"parkinsons","DFA"
1,1,351,0.58921,"parkinsons","DFA"
1,1,352,0.58076,"parkinsons","DFA"
1,1,353,0.60209,"parkinsons","DFA"
1,1,354,0.53129,"parkinsons","DFA"
1,1,355,0.60457,"parkinsons","DFA"
1,1,356,0.555,"parkinsons","DFA"
1,1,357,0.55108,"parkinsons","DFA"
1,1,358,0.5577,"parkinsons","DFA"
1,1,359,0.55525,"parkinsons","DFA"
1,1,360,0.55597,"parkinsons","DFA"
1,1,361,0.56631,"parkinsons","DFA"
1,1,362,0.55183,"parkinsons","DFA"
1,1,363,0.55205,"parkinsons","DFA"
1,1,364,0.55819,"parkinsons","DFA"
1,1,365,0.55406,"parkinsons","DFA"
1,1,366,0.59049,"parkinsons","DFA"
1,1,367,0.55944,"parkinsons","DFA"
1,1,368,0.58305,"parkinsons","DFA"
1,1,369,0.55011,"parkinsons","DFA"
1,1,370,0.57976,"parkinsons","DFA"
1,1,371,0.6045,"parkinsons","DFA"
1,1,372,0.56981,"parkinsons","DFA"
1,1,373,0.56694,"parkinsons","DFA"
1,1,374,0.61054,"parkinsons","DFA"
1,1,375,0.54795,"parkinsons","DFA"
1,1,376,0.58255,"parkinsons","DFA"
1,1,377,0.57341,"parkinsons","DFA"
1,1,378,0.53548,"parkinsons","DFA"
1,1,379,0.56222,"parkinsons","DFA"
1,1,380,0.55835,"parkinsons","DFA"
1,1,381,0.56445,"parkinsons","DFA"
1,1,382,0.54897,"parkinsons","DFA"
1,1,383,0.57256,"parkinsons","DFA"
1,1,384,0.55048,"parkinsons","DFA"
1,1,385,0.552,"parkinsons","DFA"
1,1,386,0.55517,"parkinsons","DFA"
1,1,387,0.56472,"parkinsons","DFA"
1,1,388,0.57583,"parkinsons","DFA"
1,1,389,0.60115,"parkinsons","DFA"
1,1,390,0.54887,"parkinsons","DFA"
1,1,391,0.59164,"parkinsons","DFA"
1,1,392,0.5462,"parkinsons","DFA"
1,1,393,0.55511,"parkinsons","DFA"
1,1,394,0.57722,"parkinsons","DFA"
1,1,395,0.58918,"parkinsons","DFA"
1,1,396,0.59208,"parkinsons","DFA"
1,1,397,0.53524,"parkinsons","DFA"
1,1,398,0.58656,"parkinsons","DFA"
1,1,399,0.57523,"parkinsons","DFA"
1,1,400,0.55307,"parkinsons","DFA"
1,1,401,0.57545,"parkinsons","DFA"
1,1,402,0.62512,"parkinsons","DFA"
1,1,403,0.61909,"parkinsons","DFA"
1,1,404,0.58584,"parkinsons","DFA"
1,1,405,0.692,"parkinsons","DFA"
1,1,406,0.58639,"parkinsons","DFA"
1,1,407,0.64474,"parkinsons","DFA"
1,1,408,0.64677,"parkinsons","DFA"
1,1,409,0.64837,"parkinsons","DFA"
1,1,410,0.69246,"parkinsons","DFA"
1,1,411,0.62271,"parkinsons","DFA"
1,1,412,0.64033,"parkinsons","DFA"
1,1,413,0.62674,"parkinsons","DFA"
1,1,414,0.68373,"parkinsons","DFA"
1,1,415,0.62282,"parkinsons","DFA"
1,1,416,0.60966,"parkinsons","DFA"
1,1,417,0.62147,"parkinsons","DFA"
1,1,418,0.60355,"parkinsons","DFA"
1,1,419,0.6006,"parkinsons","DFA"
1,1,420,0.60001,"parkinsons","DFA"
1,1,421,0.61015,"parkinsons","DFA"
1,1,422,0.62622,"parkinsons","DFA"
1,1,423,0.63997,"parkinsons","DFA"
1,1,424,0.60335,"parkinsons","DFA"
1,1,425,0.64624,"parkinsons","DFA"
1,1,426,0.62463,"parkinsons","DFA"
1,1,427,0.69474,"parkinsons","DFA"
1,1,428,0.65205,"parkinsons","DFA"
1,1,429,0.64353,"parkinsons","DFA"
1,1,430,0.68394,"parkinsons","DFA"
1,1,431,0.61981,"parkinsons","DFA"
1,1,432,0.63919,"parkinsons","DFA"
1,1,433,0.63536,"parkinsons","DFA"
1,1,434,0.70951,"parkinsons","DFA"
1,1,435,0.61999,"parkinsons","DFA"
1,1,436,0.65332,"parkinsons","DFA"
1,1,437,0.62071,"parkinsons","DFA"
1,1,438,0.61681,"parkinsons","DFA"
1,1,439,0.60875,"parkinsons","DFA"
1,1,440,0.61262,"parkinsons","DFA"
1,1,441,0.6347,"parkinsons","DFA"
1,1,442,0.61494,"parkinsons","DFA"
1,1,443,0.64273,"parkinsons","DFA"
1,1,444,0.65258,"parkinsons","DFA"
1,1,445,0.63253,"parkinsons","DFA"
1,1,446,0.59868,"parkinsons","DFA"
1,1,447,0.64643,"parkinsons","DFA"
1,1,448,0.64381,"parkinsons","DFA"
1,1,449,0.62778,"parkinsons","DFA"
1,1,450,0.64624,"parkinsons","DFA"
1,1,451,0.69637,"parkinsons","DFA"
1,1,452,0.63666,"parkinsons","DFA"
1,1,453,0.6297,"parkinsons","DFA"
1,1,454,0.71605,"parkinsons","DFA"
1,1,455,0.64222,"parkinsons","DFA"
1,1,456,0.65253,"parkinsons","DFA"
1,1,457,0.63102,"parkinsons","DFA"
1,1,458,0.63567,"parkinsons","DFA"
1,1,459,0.61099,"parkinsons","DFA"
1,1,460,0.61341,"parkinsons","DFA"
1,1,461,0.64002,"parkinsons","DFA"
1,1,462,0.6348,"parkinsons","DFA"
1,1,463,0.65434,"parkinsons","DFA"
1,1,464,0.57865,"parkinsons","DFA"
1,1,465,0.65414,"parkinsons","DFA"
1,1,466,0.62918,"parkinsons","DFA"
1,1,467,0.60399,"parkinsons","DFA"
1,1,468,0.65104,"parkinsons","DFA"
1,1,469,0.60602,"parkinsons","DFA"
1,1,470,0.65012,"parkinsons","DFA"
1,1,471,0.64068,"parkinsons","DFA"
1,1,472,0.70306,"parkinsons","DFA"
1,1,473,0.67494,"parkinsons","DFA"
1,1,474,0.60523,"parkinsons","DFA"
1,1,475,0.61784,"parkinsons","DFA"
1,1,476,0.6826,"parkinsons","DFA"
1,1,477,0.61364,"parkinsons","DFA"
1,1,478,0.6292,"parkinsons","DFA"
1,1,479,0.64495,"parkinsons","DFA"
1,1,480,0.62006,"parkinsons","DFA"
1,1,481,0.63027,"parkinsons","DFA"
1,1,482,0.62296,"parkinsons","DFA"
1,1,483,0.62946,"parkinsons","DFA"
1,1,484,0.61419,"parkinsons","DFA"
1,1,485,0.66695,"parkinsons","DFA"
1,1,486,0.58602,"parkinsons","DFA"
1,1,487,0.63302,"parkinsons","DFA"
1,1,488,0.59986,"parkinsons","DFA"
1,1,489,0.67187,"parkinsons","DFA"
1,1,490,0.59326,"parkinsons","DFA"
1,1,491,0.63538,"parkinsons","DFA"
1,1,492,0.6578,"parkinsons","DFA"
1,1,493,0.67289,"parkinsons","DFA"
1,1,494,0.6705,"parkinsons","DFA"
1,1,495,0.60409,"parkinsons","DFA"
1,1,496,0.62379,"parkinsons","DFA"
1,1,497,0.61844,"parkinsons","DFA"
1,1,498,0.65781,"parkinsons","DFA"
1,1,499,0.60357,"parkinsons","DFA"
1,1,500,0.62867,"parkinsons","DFA"
1,1,501,0.62457,"parkinsons","DFA"
1,1,502,0.61877,"parkinsons","DFA"
1,1,503,0.61441,"parkinsons","DFA"
1,1,504,0.62579,"parkinsons","DFA"
1,1,505,0.61372,"parkinsons","DFA"
1,1,506,0.57891,"parkinsons","DFA"
1,1,507,0.64613,"parkinsons","DFA"
1,1,508,0.61237,"parkinsons","DFA"
1,1,509,0.65187,"parkinsons","DFA"
1,1,510,0.65509,"parkinsons","DFA"
1,1,511,0.66092,"parkinsons","DFA"
1,1,512,0.69254,"parkinsons","DFA"
1,1,513,0.60594,"parkinsons","DFA"
1,1,514,0.60447,"parkinsons","DFA"
1,1,515,0.67701,"parkinsons","DFA"
1,1,516,0.62725,"parkinsons","DFA"
1,1,517,0.6694,"parkinsons","DFA"
1,1,518,0.59789,"parkinsons","DFA"
1,1,519,0.60553,"parkinsons","DFA"
1,1,520,0.61026,"parkinsons","DFA"
1,1,521,0.63748,"parkinsons","DFA"
1,1,522,0.62358,"parkinsons","DFA"
1,1,523,0.67408,"parkinsons","DFA"
1,1,524,0.63157,"parkinsons","DFA"
1,1,525,0.64062,"parkinsons","DFA"
1,1,526,0.66369,"parkinsons","DFA"
1,1,527,0.60524,"parkinsons","DFA"
1,1,528,0.61026,"parkinsons","DFA"
1,1,529,0.67058,"parkinsons","DFA"
1,1,530,0.69661,"parkinsons","DFA"
1,1,531,0.62785,"parkinsons","DFA"
1,1,532,0.62163,"parkinsons","DFA"
1,1,533,0.69526,"parkinsons","DFA"
1,1,534,0.64575,"parkinsons","DFA"
1,1,535,0.64828,"parkinsons","DFA"
1,1,536,0.70789,"parkinsons","DFA"
1,1,537,0.66392,"parkinsons","DFA"
1,1,538,0.6321,"parkinsons","DFA"
1,1,539,0.67175,"parkinsons","DFA"
1,1,540,0.66352,"parkinsons","DFA"
1,1,541,0.62664,"parkinsons","DFA"
1,1,542,0.66536,"parkinsons","DFA"
1,1,543,0.68951,"parkinsons","DFA"
1,1,544,0.66015,"parkinsons","DFA"
1,1,545,0.65601,"parkinsons","DFA"
1,1,546,0.62526,"parkinsons","DFA"
1,1,547,0.631,"parkinsons","DFA"
1,1,548,0.61665,"parkinsons","DFA"
1,1,549,0.63908,"parkinsons","DFA"
1,1,550,0.63364,"parkinsons","DFA"
1,1,551,0.64611,"parkinsons","DFA"
1,1,552,0.62197,"parkinsons","DFA"
1,1,553,0.60544,"parkinsons","DFA"
1,1,554,0.67667,"parkinsons","DFA"
1,1,555,0.67043,"parkinsons","DFA"
1,1,556,0.63299,"parkinsons","DFA"
1,1,557,0.64691,"parkinsons","DFA"
1,1,558,0.63823,"parkinsons","DFA"
1,1,559,0.6715,"parkinsons","DFA"
1,1,560,0.65362,"parkinsons","DFA"
1,1,561,0.64338,"parkinsons","DFA"
1,1,562,0.61462,"parkinsons","DFA"
1,1,563,0.65949,"parkinsons","DFA"
1,1,564,0.60651,"parkinsons","DFA"
1,1,565,0.66061,"parkinsons","DFA"
1,1,566,0.68301,"parkinsons","DFA"
1,1,567,0.64793,"parkinsons","DFA"
1,1,568,0.66374,"parkinsons","DFA"
1,1,569,0.61322,"parkinsons","DFA"
1,1,570,0.64485,"parkinsons","DFA"
1,1,571,0.62654,"parkinsons","DFA"
1,1,572,0.59594,"parkinsons","DFA"
1,1,573,0.62561,"parkinsons","DFA"
1,1,574,0.59893,"parkinsons","DFA"
1,1,575,0.66188,"parkinsons","DFA"
1,1,576,0.59545,"parkinsons","DFA"
1,1,577,0.59971,"parkinsons","DFA"
1,1,578,0.64847,"parkinsons","DFA"
1,1,579,0.64586,"parkinsons","DFA"
1,1,580,0.61074,"parkinsons","DFA"
1,1,581,0.5958,"parkinsons","DFA"
1,1,582,0.66886,"parkinsons","DFA"
1,1,583,0.61373,"parkinsons","DFA"
1,1,584,0.63083,"parkinsons","DFA"
1,1,585,0.60756,"parkinsons","DFA"
1,1,586,0.66542,"parkinsons","DFA"
1,1,587,0.62564,"parkinsons","DFA"
1,1,588,0.5998,"parkinsons","DFA"
1,1,589,0.61544,"parkinsons","DFA"
1,1,590,0.67395,"parkinsons","DFA"
1,1,591,0.61559,"parkinsons","DFA"
1,1,592,0.67422,"parkinsons","DFA"
1,1,593,0.6632,"parkinsons","DFA"
1,1,594,0.67642,"parkinsons","DFA"
1,1,595,0.65098,"parkinsons","DFA"
1,1,596,0.63421,"parkinsons","DFA"
1,1,597,0.65291,"parkinsons","DFA"
1,1,598,0.68282,"parkinsons","DFA"
1,1,599,0.63474,"parkinsons","DFA"
1,1,600,0.66209,"parkinsons","DFA"
1,1,601,0.67314,"parkinsons","DFA"
1,1,602,0.69569,"parkinsons","DFA"
1,1,603,0.65653,"parkinsons","DFA"
1,1,604,0.68567,"parkinsons","DFA"
1,1,605,0.67087,"parkinsons","DFA"
1,1,606,0.71018,"parkinsons","DFA"
